symbol,approved_symbol
CD45RA,CD45RA
CD45RO,CD45RO
CD3,CD3
CD3&19,CD3
PSTAT1,STAT1
PSTAT2,STAT2
PSTAT3,STAT3
PSTAT4,STAT4
PSTAT5,STAT5
PSTAT6,STAT6
TCR-Vg9,TCR-Vg9
TCR Vg9,TCR-Vg9
TCR-VGAMMA9,TCR-Vg9
VGAMMA9,TCR-Vg9
Vg9,TCR-Vg9
TCR-Vd1,TCR-Vd1
TCR Vd1,TCR-Vd1
TCR-VDELTA1,TCR-Vd1
VDELTA1,TCR-Vd1
Vd1,TCR-Vd1
TCR-Vd2,TCR-Vd2
TCR Vd2,TCR-Vd2
TCR-VDELTA2,TCR-Vd2
VDELTA2,TCR-Vd2
Vd2,TCR-Vd2
TCR-Va7,TCR-Va7
TCR Va7,TCR-Va7
Va7-2,TCR-Va7
Va7.2,TCR-Va7
Va7_2,TCR-Va7
Va7,TCR-Va7
VALPHA7,TCR-Va7
gdTCR,TCR-gd
TCRgd,TCR-gd
TCRg,TCR-gd
gTCR,TCR-gd
TCRd,TCR-gd
dTCR,TCR-gd
abTCR,TCR-ab
TCRab,TCR-ab
TCRa,TCR-ab
TCRalpha,TCR-ab
TCR-alpha,TCR-ab
aTCR,TCR-ab
TCRb,TCR-ab
TCRbeta,TCR-ab
TCR-beta,TCR-ab
bTCR,TCR-ab
HLA-DR,HLADR
HLA DR,HLADR
PD1,CD279
PD-1,CD279
PDL1,CD274
PD-L1,CD274
CTLA-4,CD152
INTB7,INTB7
Ki67,Ki67
IgD,IgD
IgE,IgE
IgA,IgA
IgG,IgG
IgM,IgM
IgY,IgY
CD66A,CD66
CD66B,CD66
CD158B,CD158B
GFP,GFP
Cisplatin,Cisplatin
Perforin,Perforin
Perforine,Perforin
MCP-1_PERFORINE_NFKB,Perforin
GranzymeB,GranzymeB
Granzyme B,GranzymeB
Granzyme-B,GranzymeB
Granzyme_B,GranzymeB
GranzB,GranzymeB
158GD_GRANZYME_B,GranzymeB
GRANZYME B PERCP-CY5.5-A,GranzymeB
GranzymeA,GranzymeA
Granzyme A,GranzymeA
Granzyme-A,GranzymeA
Granzyme_A,GranzymeA
GranzB,GranzymeB
165HO_FOXP3_HO165DI,FOXP3
IFNG,IFNg
IFN-G,IFNg
IFN GAMMA,IFNg
IFNGPECY7,IFNg
IFNA,IFNa
IFN-A,IFNa
IFN ALPHA,IFNa
IFNA2B,IFNa
TNFA,TNFa
TNF-A,TNFa
TNFAPACBLUE,TNFa
TNF ALPHA,TNFa
TNFAIP2,TNFa
DNA,DNA
DNA1,DNA
DNA2,DNA
DNA1DD,DNA
DNA2DD,DNA
DNA1DI,DNA
DNA2DI,DNA
DNA191,DNA
DNA193,DNA
DNAIR,DNA
DAPI,DAPI
BC,BC
Event_length,Event_length
_Event_length,Event_length
Time,Time